2021-08-25 16:30:00,32509,32450
2021-08-25 16:45:00,32485,32356
2021-08-25 17:00:00,32429,32342
2021-08-25 17:15:00,32407,32332
2021-08-25 17:30:00,32474,32356
2021-08-25 17:45:00,32471,32430
2021-08-25 18:00:00,32471,32439
2021-08-25 18:15:00,32480,32435
2021-08-25 18:30:00,32537,32461
2021-08-25 19:00:00,32583,32516
2021-08-25 19:15:00,32569,32548
2021-08-25 19:30:00,32583,32550
2021-08-25 19:45:00,32570,32559
2021-08-25 20:00:00,32579,32562
2021-08-25 20:15:00,32579,32564
2021-08-25 20:30:00,32573,32562
2021-08-25 20:45:00,32569,32527
2021-08-25 21:00:00,32564,32542
2021-08-25 21:15:00,32570,32555
2021-08-25 21:30:00,32578,32565
2021-08-25 21:45:00,32621,32569
2021-08-25 22:00:00,32611,32573
2021-08-25 22:15:00,32604,32572
2021-08-25 22:30:00,32597,32573
2021-08-25 22:45:00,32598,32559
2021-08-25 23:00:00,32587,32558
2021-08-25 23:15:00,32579,32556
2021-08-25 23:30:00,32558,32542
2021-08-25 23:45:00,32559,32527
2021-08-26 07:00:00,32525,32354
2021-08-26 07:15:00,32391,32365
2021-08-26 07:30:00,32433,32380
2021-08-26 07:45:00,32435,32398
2021-08-26 08:00:00,32441,32387
2021-08-26 08:15:00,32500,32426
2021-08-26 08:30:00,32494,32461
2021-08-26 08:45:00,32533,32474
2021-08-26 09:00:00,32523,32453
2021-08-26 09:15:00,32488,32455
2021-08-26 09:30:00,32467,32444
2021-08-26 09:45:00,32466,32426
2021-08-26 10:00:00,32523,32292
2021-08-26 10:15:00,32415,32293
2021-08-26 10:30:00,32444,32388
2021-08-26 10:45:00,32463,32342
2021-08-26 11:00:00,32475,32416
2021-08-26 11:15:00,32584,32471
2021-08-26 11:30:00,32635,32503
2021-08-26 11:45:00,32575,32509
2021-08-26 12:00:00,32555,32401
2021-08-26 12:15:00,32439,32385
2021-08-26 12:30:00,32422,32385
2021-08-26 12:45:00,32432,32398
2021-08-26 13:00:00,32422,32328
2021-08-26 13:15:00,32430,32394
2021-08-26 13:30:00,32426,32356
2021-08-26 13:45:00,32401,32356
2021-08-26 14:00:00,32363,32225
2021-08-26 14:15:00,32279,32237
2021-08-26 14:30:00,32295,32261
2021-08-26 14:45:00,32317,32276
2021-08-26 15:00:00,32287,32267
2021-08-26 15:15:00,32342,32272
2021-08-26 15:30:00,32357,32307
2021-08-26 15:45:00,32343,32293
2021-08-26 16:00:00,32427,32320
2021-08-26 16:15:00,32408,32359
2021-08-26 16:30:00,32373,32284
2021-08-26 16:45:00,32329,32259
2021-08-26 17:00:00,32296,32254
2021-08-26 17:15:00,32312,32206
2021-08-26 17:30:00,32278,32227
2021-08-26 17:45:00,32247,32127
2021-08-26 18:00:00,32258,32158
2021-08-26 18:15:00,32298,32244
2021-08-26 18:30:00,32329,32247
2021-08-26 19:00:00,32379,32303
2021-08-26 19:15:00,32393,32363
2021-08-26 19:30:00,32377,32365
2021-08-26 19:45:00,32398,32363
2021-08-26 20:00:00,32424,32382
2021-08-26 20:15:00,32419,32366
2021-08-26 20:30:00,32376,32360
2021-08-26 20:45:00,32374,32342
2021-08-26 21:00:00,32360,32303
2021-08-26 21:15:00,32321,32286
2021-08-26 21:30:00,32310,32267
2021-08-26 21:45:00,32286,32265
2021-08-26 22:00:00,32276,32250
2021-08-26 22:15:00,32337,32264
2021-08-26 22:30:00,32345,32314
2021-08-26 22:45:00,32337,32317
2021-08-26 23:00:00,32342,32323
2021-08-26 23:15:00,32342,32315
2021-08-26 23:30:00,32335,32315
2021-08-26 23:45:00,32342,32293
2021-08-27 07:00:00,32419,32342
2021-08-27 07:15:00,32436,32408
2021-08-27 07:30:00,32433,32405
2021-08-27 07:45:00,32433,32402
2021-08-27 08:00:00,32408,32373
2021-08-27 08:15:00,32390,32373
2021-08-27 08:30:00,32388,32363
2021-08-27 08:45:00,32427,32374
2021-08-27 09:00:00,32450,32401
2021-08-27 09:15:00,32455,32421
2021-08-27 09:30:00,32450,32441
2021-08-27 09:45:00,32466,32435
2021-08-27 10:00:00,32534,32402
2021-08-27 10:15:00,32461,32377
2021-08-27 10:30:00,32503,32441
2021-08-27 10:45:00,32485,32422
2021-08-27 11:00:00,32509,32413
2021-08-27 11:15:00,32457,32402
2021-08-27 11:30:00,32426,32349
